id,nombre_predio,comuna,latitud,longitud,nivel_importancia,hectareas
1861,SANTA CLARA DE REÑICO PARTE,LUMACO,-38.20203,-72.838953,BAJO,207.76
1862,SAN ANDRES,LUMACO,-38.242793,-73.107013,MEDIO,483.11
1863,SAN HUMBERTO,LUMACO,-38.217111,-73.10823,MEDIO,68.45
1864,SANTA HORTENCIA,LUMACO,-38.311288,-72.960468,MEDIO,115.81
1865,PARCELA 42 ARILAHUEN LOTE-A,SANTA BARBARA,-37.645888,-72.022315,BAJO,42.53
1866,PARCELA 70 Y 71-A ESPIGA DE ORO,MULCHEN,-37.604443,-72.424965,BAJO,80.01
1867,TRICAHUE Y OTROS,SANTA BARBARA,-37.573963,-71.903544,BAJO,263.7
1868,PARCELA 10 ESTRELLA DE BIO BIO LOTE B-1,SANTA BARBARA,-37.722573,-71.78518,BAJO,40.83
1869,HIJUELAS LIRQUEN LOTES 1 Y  2,QUILACO,-37.760792,-71.857353,BAJO,22.56
1870,SANTA JUANA Y EL PERAL,PEMUCO,-37.011725,-71.798122,BAJO,212.04
1871,"SAN MIGUEL LOTES H,I",YUMBEL,-37.083842,-72.695158,MEDIO,15.09
1872,BARRANCAS,YUMBEL,-37.041654,-72.656466,MEDIO,44.69
1873,SANTA BERTA Y OTROS,TUCAPEL,-37.195214,-71.82487,BAJO,59.63
1874,HIJUELA MONTE AGUILA,CABRERO,-37.084069,-72.463673,BAJO,39.3
1875,SANTA BERTA Y OTROS,TUCAPEL,-37.211023,-71.788956,BAJO,39.5
1876,CERRO ALTO,YUMBEL,-36.984696,-72.594389,MEDIO,83.35
1877,EL OLIVO,YUMBEL,-37.102099,-72.732427,MEDIO,53.39
1878,PURISIMA,YUMBEL,-37.099976,-72.726336,MEDIO,53.84
1879,LAS BARRANCAS LOTE B-1,YUMBEL,-37.105645,-72.713901,MEDIO,7.28
1880,SANTA LUCIA,YUMBEL,-37.104511,-72.710063,MEDIO,21.04
1881,LAS HORTENCIAS,YUMBEL,-37.104494,-72.723282,MEDIO,13.28
1882,HIJUELA 1 PARCELA 3 SAN JOSE Y OTROS,TUCAPEL,-37.202467,-71.844859,BAJO,132.48
1883,CHOIGUE ALTO LOTE A,YUMBEL,-36.970039,-72.566676,MEDIO,212.34
1884,PASO DEL ANGEL LOTE B,TUCAPEL,-37.253182,-71.769139,BAJO,66.94
